User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,Hey,2024-12-04 15:55:09
goodby,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-04 15:55:25
goodbye,Goodbye,2024-12-04 15:55:34
hey,Hey Buddy,2024-12-04 15:57:16
hey,Hello! Ready to explore some recipes?,2024-12-04 18:59:22
Suggest a unique Indian lunch recipe.,"You can try Gatte ki Sabzi, Undhiyu, or Rajasthani Ker Sangri. Let me know which one you’d like!",2024-12-04 18:59:49
Undhiyu,Hi there! How can I assist you with cooking today?,2024-12-04 19:00:08
How do I make Ghevar?,"To make Ghevar: 1. Mix flour with water, milk, and ghee to create a batter. 2. Deep fry in ghee to form a honeycomb-like disc. 3. Soak in sugar syrup and top with rabri and nuts.",2024-12-04 19:00:21
How do I make Undhiyu?,"To make Poha: 1. Rinse flattened rice and set aside. 2. Sauté mustard seeds, curry leaves, green chilies, and onions. 3. Add turmeric and the poha. Mix well and garnish with fresh coriander and lemon juice.",2024-12-04 19:00:28
Give me a recipe for an Indian dish.,Hello! Ready to explore some recipes?,2024-12-04 19:03:46
Give me a recipe for an Indian dish,Hi there! How can I assist you with cooking today?,2024-12-04 19:03:53
Suggest an Indian ,"Try Samosas, Kachoris, or Pani Puri. Want a recipe for any of these?",2024-12-04 19:04:04
Suggest an Indian street food recipe.,"You can try Pani Puri, Pav Bhaji, or Dahi Puri. Need a recipe for any of these?",2024-12-04 19:04:15
Suggest a healthy recipe for lunch.,"You can try Quinoa Salad, Vegetable Stir-fry, or Lentil Soup. Interested in any of these?",2024-12-04 19:05:20
What are some low-calorie meals I can cook?,"You can try Zucchini Noodles, Grilled Fish, or Cucumber Salad. Need a recipe for any of these?",2024-12-04 19:05:30
Suggest a quick and healthy breakfast recipe.,"How about Avocado Toast, Scrambled Eggs, or French Toast? Let me know which recipe you want!",2024-12-04 19:05:48
Can you help me with a recipe?,Sure! Do you want recipe suggestions or help with cooking tips?,2024-12-04 19:07:44
What are you capable of doing?,My purpose is to suggest recipes based on your ingredients or preferences.,2024-12-04 19:08:07
"I’m craving something with chocolate, what can I make?",Tomato-based pasta or potato curry would be great! Want the recipe?,2024-12-04 19:08:30
Give me a recipe with rice and chicken.,"You can try making Chicken Fried Rice, Potato Wedges, or Tomato Soup! Need the recipe?",2024-12-04 19:08:48
Give me a recipe with rice and chicken.,How about Egg and Cheese Omelette or Mashed Potatoes? Let me know if you want details!,2024-12-04 19:11:48
Give me a recipe with rice and chicken.,"1. Brown chicken in a pan, then remove and set aside. 2. Sauté onion and garlic in the same pan, add rice, spices, and chicken broth. 3. Bring to a boil, then simmer covered until liquid is absorbed and rice is cooked.",2024-12-04 19:11:55
Give me a recipe with rice and chicken.,Tomato-based pasta or potato curry would be great! Want the recipe?,2024-12-04 19:12:15
Give me a recipe with rice and chicken.,Tomato-based pasta or potato curry would be great! Want the recipe?,2024-12-04 19:12:17
Give me a recipe with rice and chicken.,"You can try making Chicken Fried Rice, Potato Wedges, or Tomato Soup! Need the recipe?",2024-12-04 19:12:20
Give me a recipe with rice and chicken.,Tomato-based pasta or potato curry would be great! Want the recipe?,2024-12-04 19:12:21
Give me a recipe with rice and chicken.,"1. Brown chicken in a pan, then remove and set aside. 2. Onion and garlic in the same pan, add rice, spices, and chicken broth. 3. Bring to a boil, then simmer covered until liquid is absorbed and rice is cooked.",2024-12-04 19:12:23
